"id","bpm","uri","permalink_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","valence","arousal"
16400,0.902,"https://api.soundcloud.com/tracks/2134554","http://soundcloud.com/musicalmindcontrol/musical-mind-control-robot-disco-mp3",0,0,0,0,0,0,0,1,0,0,1,0,0.25,-1.00
16926,1.383,"https://api.soundcloud.com/tracks/2177395","http://soundcloud.com/tubish/tubish-steeeevich",0,0,0,0,1,0,0,0,0,0,0,0,0.50,0.75
17314,0.331,"https://api.soundcloud.com/tracks/2204416","http://soundcloud.com/somethingshaw/pors",0,0,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
17333,0.827,"https://api.soundcloud.com/tracks/2203534","http://soundcloud.com/cubiksquared/nights-end",0,1,0,0,0,0,0,0,0,0,1,0,1.00,0.25
18466,0.752,"https://api.soundcloud.com/tracks/2271446","http://soundcloud.com/life-in-a-box/before-n-after",0,0,0,0,0,0,0,0,0,0,1,0,0.25,-1.00
19279,1.068,"https://api.soundcloud.com/tracks/2348260","http://soundcloud.com/puffystarspeed/ride-it-again",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
19680,0.654,"https://api.soundcloud.com/tracks/2375391","http://soundcloud.com/electroarturoman/quietness",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
21354,0.902,"https://api.soundcloud.com/tracks/2498731","http://soundcloud.com/byunjoe/under-mars",0,1,0,0,0,0,0,0,0,0,0,0,0.25,-1.00
22880,1.075,"https://api.soundcloud.com/tracks/2625443","http://soundcloud.com/libra-uk/depone-ft-sonwah-fresh-immortal-machine",0,0,0,0,0,0,0,0,0,1,0,0,1.00,-0.25
24021,1.053,"https://api.soundcloud.com/tracks/2703108","http://soundcloud.com/celt-islam/dub-reflex",0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.75
24656,1.053,"https://api.soundcloud.com/tracks/2749448","http://soundcloud.com/roughquest/symmetry-feat-asher-dust",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
25702,0.902,"https://api.soundcloud.com/tracks/2854020","http://soundcloud.com/acid-goblin/horizontalrollercoasterofquotidianmailaise",0,1,0,0,0,0,0,0,0,0,0,0,-0.75,-0.50
26844,0.902,"https://api.soundcloud.com/tracks/2937519","http://soundcloud.com/byunjoe/spark-of-a-million",0,0,0,0,0,0,0,0,0,0,1,0,0.25,-1.00
27685,0.737,"https://api.soundcloud.com/tracks/3033169","http://soundcloud.com/somethingshaw/ghi",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
27947,0.917,"https://api.soundcloud.com/tracks/3047018","http://soundcloud.com/mike-marble/so-fabolous-1",0,0,0,0,0,0,1,0,0,0,0,0,0.50,-0.75
28390,0.699,"https://api.soundcloud.com/tracks/3072938","http://soundcloud.com/vahag/invisible",0,0,0,0,0,0,0,0,0,0,1,0,-1.00,-0.25
30166,0.842,"https://api.soundcloud.com/tracks/3226986","http://soundcloud.com/konstruktiva/hard2create",1,0,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
31186,1.053,"https://api.soundcloud.com/tracks/3310175","http://soundcloud.com/1superjoshi/kolkata-mong",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
31773,1.053,"https://api.soundcloud.com/tracks/3369335","http://soundcloud.com/bluze/streetlights",0,0,0,0,0,0,0,0,0,1,0,0,-0.25,1.00
31954,0.940,"https://api.soundcloud.com/tracks/3387845","http://soundcloud.com/highfi_delity/the-shake-up",0,0,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
32983,1.030,"https://api.soundcloud.com/tracks/3469070","http://soundcloud.com/spacesheep1/vechernee-utro",0,0,0,0,1,0,0,0,0,0,0,0,0.25,-1.00
33876,0.962,"https://api.soundcloud.com/tracks/3556782","http://soundcloud.com/ofirsegal/ofir-segal-disco-craze",0,0,0,0,0,0,0,1,0,0,0,0,1.00,0.25
34061,0.752,"https://api.soundcloud.com/tracks/3575215","http://soundcloud.com/badnrad/bad-girl",0,0,0,0,1,0,0,0,0,0,0,0,-1.00,-0.25
37897,1.278,"https://api.soundcloud.com/tracks/3911540","http://soundcloud.com/reset/kouriyo",0,1,0,0,0,0,0,0,0,0,0,0,0.25,-1.00
38303,0.977,"https://api.soundcloud.com/tracks/3946236","http://soundcloud.com/tiny-bones/heat",0,0,0,0,1,0,0,0,0,0,0,0,-0.25,1.00
39307,0.722,"https://api.soundcloud.com/tracks/4043805","http://soundcloud.com/aetheros/flow",0,1,0,0,0,0,0,0,0,0,1,0,1.00,0.25
39340,1.023,"https://api.soundcloud.com/tracks/4042382","http://soundcloud.com/hello-opti/opti-worries",0,1,0,0,0,0,0,0,0,0,0,0,-1.00,-0.25
39763,1.188,"https://api.soundcloud.com/tracks/4078652","http://soundcloud.com/neonchoir/ice-cream-float-1",0,0,0,0,0,0,0,0,0,0,0,1,-1.00,-0.25
40506,0.992,"https://api.soundcloud.com/tracks/4165534","http://soundcloud.com/suboculis/the-sludge-chronicles",0,0,0,0,0,0,0,0,0,0,1,0,1.00,-0.25
40516,1.053,"https://api.soundcloud.com/tracks/4164748","http://soundcloud.com/dizenjah/dizenjah-if-your-mind-is-full",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
41668,0.962,"https://api.soundcloud.com/tracks/4286008","http://soundcloud.com/xandnotx/dead-m0053",0,0,0,0,0,0,0,0,0,0,1,0,1.00,0.25
42312,0.602,"https://api.soundcloud.com/tracks/4340096","http://soundcloud.com/djqb/dj-qb-kety",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
42439,0.677,"https://api.soundcloud.com/tracks/4362671","http://soundcloud.com/somber-death/the-light",0,0,0,0,1,0,0,0,0,0,1,0,-1.00,-0.25
42586,1.241,"https://api.soundcloud.com/tracks/4357417","http://soundcloud.com/junglemilitia/producer-junglemilitia-good-life",0,0,0,0,0,0,0,0,1,0,0,0,0.50,0.75
43115,0.785,"https://api.soundcloud.com/tracks/4426134","http://soundcloud.com/musemechanic/elven-muse-mechanic-vocals",0,0,0,0,0,0,0,0,0,0,1,0,-0.50,0.25
43216,0.752,"https://api.soundcloud.com/tracks/4450067","http://soundcloud.com/brettstclair/this-winter-is-ours",0,1,0,0,0,0,0,0,0,0,0,0,-1.00,-0.25
43652,1.053,"https://api.soundcloud.com/tracks/4483452","http://soundcloud.com/hostile-hams/angels-gone-away",0,0,0,0,0,0,0,0,0,1,0,0,1.00,0.25
44155,1.308,"https://api.soundcloud.com/tracks/4522594","http://soundcloud.com/ttp/golden-heart",0,0,0,0,0,0,0,0,1,0,0,0,0.50,-0.75
45677,1.053,"https://api.soundcloud.com/tracks/4698457","http://soundcloud.com/nathanparton/these-machines",0,0,0,0,0,0,0,0,0,1,0,0,0.25,-1.00
47699,0.962,"https://api.soundcloud.com/tracks/4914358","http://soundcloud.com/ottocoster/zandkasteel-wip",0,0,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
47717,1.060,"https://api.soundcloud.com/tracks/4913763","http://soundcloud.com/mother-turf/wavves",0,0,0,0,0,0,0,0,0,0,1,0,0.50,-0.75
47935,1.053,"https://api.soundcloud.com/tracks/4932861","http://soundcloud.com/liondubinternational/marcus-visionary-left-foot-skank",0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.75
47944,1.053,"https://api.soundcloud.com/tracks/4932627","http://soundcloud.com/liondubinternational/zero-g-bass-culture",0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.75
48574,1.278,"https://api.soundcloud.com/tracks/5001490","http://soundcloud.com/quasar-producer/venom-rbx-eclipse-drum-n-bass",0,0,0,0,0,0,0,0,1,0,0,0,0.50,-0.75
49517,1.053,"https://api.soundcloud.com/tracks/5114408","http://soundcloud.com/so-many-eyes/lonely-rain",0,1,0,0,0,0,0,0,0,0,0,0,0.50,-0.75
50498,1.053,"https://api.soundcloud.com/tracks/5234935","http://soundcloud.com/dizenjah/dizenjah-relax-step",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
50924,0.962,"https://api.soundcloud.com/tracks/5280283","http://soundcloud.com/colouredlines/the-enemy",0,1,0,0,0,0,0,0,0,0,0,0,1.00,0.25
51791,1.068,"https://api.soundcloud.com/tracks/5378484","http://soundcloud.com/magnus-dux/plasticky-1",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
51792,1.068,"https://api.soundcloud.com/tracks/5378428","http://soundcloud.com/magnus-dux/chill-pill-1",0,0,0,0,0,0,0,0,0,1,0,0,0.50,-0.75
52109,1.008,"https://api.soundcloud.com/tracks/5427094","http://soundcloud.com/kontaktor/bocce-ball",0,0,0,0,0,0,0,0,0,0,1,0,-0.25,1.00
