#,"How many hours a day you listen to music?","Apple Music","Amazon Music","Google Music",Spotify,SoundCloud,8tracks,VK.com,"Yandex Music",Youtube,Pandora,None,Other,"Do you listen to different music based on your mood?","Do you listen to different music based on the activity you perform?","How much does the activity (e.g. work, sport, commute, travel) you do affect your music preference?","How much does your mood affect your music preference?","If you listen to music with no headphones how do music preferences of your friends who are around affect your music selection?","How much does a location you are in (e.g.  a beach, a city park) affect your music preference?","How much does an ambience of a location you are in (e.g. a sunny beach, a rainy beach, a loud bar, a quiet cafe) affect your music preference?","If you have in mind other things affecting your music preference, list them here:","Your age:","Your gender:","The country of your origin:","The country you live in now:","If you have any comments, leave them here:","Start Date (UTC)","Submit Date (UTC)","Network ID"
0f7815c2bf78fb1ad322961c7605a0bc,10,,,,,,,,,Youtube,,,,1,1,8,8,8,8,8,no,39,Male,venezuela,venezuela,no,"2017-06-08 22:39:36","2017-06-08 22:41:16",218642324b
89928607de4cd9380ff7dcb59760b5f8,6,,,,,,,,,Youtube,,,Windows,0,1,3,0,0,2,2,"Daily activities, difficulty in work.",18,Male,Colombia,Colombia,"I loved this survey. It's very good, I hope I see more of this :)","2017-06-08 22:38:27","2017-06-08 22:42:27",e5587d5e5f
b17697cabf35db322528452fc79f8a72,2,,,"Google Music",,,,,,Youtube,,,,1,1,5,7,8,2,3,"Day or night",22,Male,Venezuela,Venezuela,"Love music","2017-06-08 22:40:11","2017-06-08 22:43:13",42e5d00230
2cb198236dee5b7ab55e883dbaf965f2,15,,,,,,,,,Youtube,,,,1,1,8,10,5,2,2,nothing,22,Male,Venezuela,Venezuela,Thanks,"2017-06-08 22:39:48","2017-06-08 22:44:07",ab8a6dfc32
75cca2aa8cd573d8fc6907e8480bdce0,6,,,"Google Music",,SoundCloud,,,,Youtube,,,,1,1,8,10,10,5,5,none,21,Female,venezuela,venezuela,none,"2017-06-08 22:40:17","2017-06-08 22:45:50",07e5a3febc
db71c96066f0bcf9aba7b1f276d2bc05,1,,,"Google Music",,,,,,Youtube,,,,1,1,9,9,8,8,8,,29,Male,türkiye,türkiye,,"2017-06-08 22:56:28","2017-06-08 22:58:28",6477af6f5c
30c0b9580a25ea3e59d9ad04e498981d,6,,,"Google Music",,,,,,Youtube,,,,1,1,8,10,6,5,5,no,20,Female,venezuela,venezuela,no,"2017-06-08 23:00:10","2017-06-08 23:02:50",56339c4300
265b193c5ef5a5e127ada3e055e66df0,12,,,,Spotify,,,VK.com,,Youtube,,,,1,1,8,10,8,10,10,"don't have",19,Male,Brazil,Brazil,"don't have","2017-06-08 23:01:07","2017-06-08 23:03:22",2804:14c:1
13a24b25b9281db6b687c7e91c1be6eb,5,,,,,,,,,Youtube,,,,1,1,4,6,6,6,1,,34,Male,EGYPT,EGYPT,,"2017-06-08 23:02:49","2017-06-08 23:04:46",73a8605b19
f4a9362b7e747b651f669f9d9fe47924,3,,,,Spotify,,,,,,,,,1,1,8,9,3,0,2,"nothing to say :)",29,Female,Spain,Spain,"no, thank you for your survey, have a nice day :)","2017-06-08 23:03:33","2017-06-08 23:06:39",4efc34fedc
1e5d1c6884e6548f8f7e6869255c9f34,5,"Apple Music",,,Spotify,,,,,Youtube,Pandora,,,1,1,10,10,5,7,10,"Mood - excited fast beat; lonely - slow",54,Male,Philippines,USA,,"2017-06-08 23:05:20","2017-06-08 23:07:56",5732aa9e9c
418981b62c1ccddea593e8f2fe111f00,2,,,,,,,,,Youtube,,,,1,1,8,2,9,5,2,,39,Male,spain,spain,,"2017-06-08 23:06:06","2017-06-08 23:08:11",70d8bfd595
7eb5856316a24bbe567286de53dcaf81,3,,,,,,,,,Youtube,,,,1,1,6,10,4,0,0,"After an exhausting activity",26,Male,Mexico,Mexico,None,"2017-06-08 23:06:20","2017-06-08 23:09:16",6b27de2ab0
1327c44e311c2bc0bb7f5c4cb4620ccb,4,,,,,,,,,Youtube,,,,1,1,8,7,9,2,4,"How I feel in that moment.",26,Male,Venezuela,Venezuela,"Other thing you need to consider is how affect my sentiments my style of music or both","2017-06-08 23:03:48","2017-06-08 23:10:01",7453a14908
d3632bdd2d659582a1ec2f681e23f071,2,,,,Spotify,,,,,Youtube,,,,1,1,7,9,8,8,8,"Having good headphones or speakers",20,Male,Venezuela,Venezuela,,"2017-06-08 23:13:09","2017-06-08 23:14:58",6d11774a01
d80c772fc6efbdd597615f013d6f94d4,2,"Apple Music",,,,,,,,Youtube,,,,1,1,6,7,8,3,5,,22,Male,Venezuela,Venezuela,,"2017-06-08 23:14:24","2017-06-08 23:22:49",bd19d4cca7
73393ae3947e8a33dc9279b5b72f95d2,2,,,,,SoundCloud,,,,Youtube,,,,1,1,2,9,5,7,9,money,22,Male,egypt,egypt,,"2017-06-08 23:33:12","2017-06-08 23:35:20",2d2c55ba3e
05242278f421ec9b53a4687268ff2ce6,6,,,"Google Music",,,,,,Youtube,,,,1,1,9,9,5,7,7,"weather ",31,Male,romania,romania,none,"2017-06-08 23:33:22","2017-06-08 23:35:58",8aa170796e
db943b710511087aebc510283a71d79c,4,,,,,,,,,Youtube,,,,1,1,7,8,10,4,8,,43,Male,Brazil,Brazil,,"2017-06-08 23:37:27","2017-06-08 23:39:21",fd144bd57a
